name,phone,totalDebt,minimumAccept,status,persona
Michelle Smith,1558032881,45154.36,23359.97,PENDING,cooperative
Casey Thomas,5443411295,175983.89,94025.36,PENDING,cooperative
Patricia Kim,7954011254,103064.22,66424.82,PENDING,cooperative
Andrea Garcia,4495027729,215639.96,69443.95,PENDING,high_risk
Michelle Gonzalez,7126625902,139906.91,94413.39,PENDING,resistant
Anthony Jackson,3374597693,247965.42,139280.88,PENDING,high_risk
Maureen Burch,0681395911,281272.95,112491.17,PENDING,delayed
Richard Hunter,0891936857,134190.21,86041.0,PENDING,delayed
Robert Thomas,7211260895,200814.83,85072.39,PENDING,cooperative
Robert Baker,4692098918,267289.05,175290.11,PENDING,cooperative
Eric Graham,4485974699,275900.52,160629.81,PENDING,delayed
Kimberly Chavez,1465241646,197280.68,109071.44,PENDING,cooperative
Walter Doyle,5525737629,17275.42,8147.7,PENDING,cooperative
Cynthia White,3311318499,194262.8,133751.75,PENDING,delayed
Kyle David,5954404150,31163.68,12105.31,PENDING,cooperative
Chad Weaver,9297648322,249536.01,152315.17,PENDING,delayed
Sean Pearson,9727074015,245466.54,113035.93,PENDING,cooperative
Kevin Daniels,0823046681,215372.65,72692.06,PENDING,cooperative
Ronald Thompson,2946343656,204466.14,104432.84,PENDING,resistant
Andrew Phillips,7000832736,233189.04,80475.19,PENDING,cooperative
Norma Cowan,1809898093,100429.89,63409.74,PENDING,resistant
Deborah Brewer,1078731742,57649.06,32954.89,PENDING,resistant
Kelly Davila,4750734947,82898.59,55437.43,PENDING,cooperative
Max King,3537489620,235781.71,116153.26,PENDING,delayed
Danielle Walker DVM,5972367002,284262.84,126677.52,PENDING,delayed
Madeline Meyer,8020823256,35740.86,23722.09,PENDING,cooperative
Sarah Bailey,0303969073,128598.57,64064.58,PENDING,high_risk
Nicholas Johnson,1939482067,23200.34,7181.6,PENDING,cooperative
Amanda Roman,6719573614,139372.47,66196.39,PENDING,resistant
Amy Thompson,3772062677,208451.72,62911.2,PENDING,delayed
Michael Gibson,8124635628,153885.63,68551.35,PENDING,resistant
Anthony Branch,5611048088,36850.65,19701.91,PENDING,resistant
John Moore,4257799503,168350.23,117810.39,PENDING,cooperative
Katie Mclaughlin,4673406326,262577.91,138809.1,PENDING,cooperative
Michael Brown,6799705250,12907.18,8919.6,PENDING,high_risk
Mark Perkins,6936773249,123267.63,69560.12,PENDING,cooperative
Dana Vang,0795497038,152192.6,82112.96,PENDING,high_risk
Julie Hoover,5509978973,194655.95,110754.98,PENDING,delayed
Dana Elliott DVM,9743506931,33345.68,17507.13,PENDING,delayed
Christine Shields,2211717255,95074.73,29951.46,PENDING,cooperative
William Jones,7865710041,282917.41,111727.44,PENDING,resistant
Jordan Contreras,7586100735,42695.55,25590.42,PENDING,cooperative
Lisa Cook,7662653881,31204.02,13140.76,PENDING,delayed
Paul Buckley,6725834314,282579.03,171640.84,PENDING,resistant
Matthew James,6748059456,11597.39,6965.62,PENDING,delayed
Deborah Austin,5479234314,58415.22,31645.94,PENDING,cooperative
Julie Anderson,0158798490,115750.93,48678.88,PENDING,delayed
Lisa Harrison,1723697951,261398.7,130593.19,PENDING,cooperative
Kylie Rivera,6988047686,164118.9,71884.01,PENDING,delayed
Stephen Anderson Jr.,3343546383,30150.33,13473.31,PENDING,cooperative
Vincent Jackson,2545657788,289249.96,173199.48,PENDING,delayed
Carlos Contreras,8957186726,110164.65,57772.96,PENDING,cooperative
Patricia Wilson,7367309636,65974.11,20323.64,PENDING,resistant
Jennifer Walker,3734950379,139790.64,79053.49,PENDING,resistant
Shelley Harvey,6583511460,146356.33,100819.3,PENDING,cooperative
Stacey Hardy,7854216441,107523.86,39609.39,PENDING,cooperative
Stephanie Davis,0591038839,84609.47,46838.03,PENDING,high_risk
Toni Hobbs,9599548409,123812.09,80573.24,PENDING,cooperative
Justin Smith,6351037212,157738.77,76067.63,PENDING,resistant
Jasmine Parker,8134942493,123722.33,53762.68,PENDING,delayed
Juan Edwards,0440653243,172154.47,54541.33,PENDING,cooperative
Steven Ramirez,0136564949,225813.46,94358.44,PENDING,delayed
Donald Terry,7967063250,142046.74,53170.76,PENDING,delayed
Christina White,6491189729,102339.47,37725.63,PENDING,cooperative
Melanie Hurst,7004051278,46867.04,18135.42,PENDING,cooperative
Michael Smith,3917312571,36244.96,19929.01,PENDING,delayed
Ryan Stein,9363789228,293067.03,155404.83,PENDING,delayed
Dr. Ashley Harding,5038449062,36486.9,18625.25,PENDING,high_risk
Virginia Taylor,7735741275,59629.22,21070.86,PENDING,cooperative
Rebecca Robinson,5206478872,75937.38,30138.69,PENDING,cooperative
Misty White,5027121763,260569.43,108663.77,PENDING,cooperative
Jack Dorsey,4639554052,33063.13,10006.93,PENDING,cooperative
Isaiah Smith,7060029661,18328.59,6837.79,PENDING,delayed
Sophia Gray,2643200702,59086.93,38979.41,PENDING,delayed
Tim Wilson,1012645809,20478.12,9539.61,PENDING,resistant
Brad Estrada,0364320400,34917.82,13532.73,PENDING,cooperative
Anthony Melton,0064911056,163542.67,108012.14,PENDING,cooperative
Daniel Hudson,5632052372,189735.27,110929.02,PENDING,cooperative
Tanya Newton,5201892867,9960.64,6860.71,PENDING,cooperative
Sherry Walker,7995385807,133915.63,46201.2,PENDING,delayed
Amanda Moore,2100904908,41437.3,12808.55,PENDING,cooperative
Joanne Fuller,0354188616,65132.43,39860.9,PENDING,cooperative
Grant Joseph,4939628284,185700.72,59887.01,PENDING,high_risk
Matthew Perry,8003317683,54286.87,26139.54,PENDING,resistant
Sherri Cook,5745237813,140569.05,86869.95,PENDING,delayed
Rhonda Flowers,4282585185,166887.19,104396.8,PENDING,delayed
Curtis Phillips,3994845307,203980.94,133604.08,PENDING,delayed
James Lara,4416629065,265051.35,136029.04,PENDING,cooperative
Jennifer Koch,9630222877,248454.9,132630.02,PENDING,resistant
Garrett Smith,1862774256,140622.76,66884.49,PENDING,cooperative
Crystal Little,1515281650,166085.53,97813.2,PENDING,delayed
Courtney Gonzalez MD,1893450144,163303.54,50263.99,PENDING,delayed
Robert Nichols,5117932238,255984.16,133382.91,PENDING,cooperative
Kyle Torres,7408059406,7730.45,3313.34,PENDING,high_risk
Trevor Jenkins,2460289936,203831.67,95409.77,PENDING,delayed
Michael Bryant,6190834690,121132.7,43348.63,PENDING,cooperative
Stephanie Sanders,7934163003,84570.68,30146.26,PENDING,cooperative
Christine Bradley,5347895770,88710.14,51418.61,PENDING,resistant
Pamela Hunter,8839672929,45072.78,17682.18,PENDING,cooperative
Jennifer Downs,5766114131,97065.45,57158.54,PENDING,resistant
Kimberly Scott,9689838079,216318.61,109172.4,PENDING,resistant
Michael Gregory,0596565013,221338.03,98169.02,PENDING,delayed
Ashley Matthews,2068343319,264204.96,130505.67,PENDING,cooperative
Sandra Clements,3765234546,194362.1,126250.36,PENDING,resistant
